_id,userId,name,description,website,logo,verified,isActive,createdAt,updatedAt,__v,address.city,contactEmail,contactPhone
6996ddb780abc08eb03220e3,6996dd7d80abc08eb03220de,EXCELLENCE TECHNOLOGY,EDTECH COMPANY,http://www.excellencetechnology.in,,false,true,2026-02-19T09:53:59.477Z,2026-02-19T09:53:59.477Z,0,,,
6996f8cb7d16da15188505c4,6996f81a7d16da15188505b4,Techlive Solutions,IT,https://www.techlive.biz/,https://res.cloudinary.com/dgwll3dwe/image/upload/v1771522272/internship-portal/logo-1771522271726-772654831_ujya50.webp,false,true,2026-02-19T11:49:31.708Z,2026-02-19T17:31:15.162Z,0,,,
6996c7af33bc1e3602c9edf7,6996c77e33bc1e3602c9ede0,Aneja Business Group,We are A Recruitment Agency for Bulk Bpo Hiring based out In Mohali .\n,https://www.anejabusinessgroup.com,https://res.cloudinary.com/dgwll3dwe/image/upload/v1771489269/internship-portal/logo-1771489268933-50823934_eoxbyp.webp,false,true,2026-02-19T08:19:59.300Z,2026-02-19T08:22:24.036Z,0,"Mohali , India ",anurag.aneja@gmail.com,09888307229
699da485e277384ac4e3296a,699da415e277384ac4e32965,KshatraLabs Private Limited,Defense Robotics,https://www.kshatralabs.in,,false,true,2026-02-24T13:15:49.559Z,2026-02-24T13:15:49.559Z,0,,,
6998319f73452e50b91e447d,6998318a73452e50b91e446d,Omkar Energy Solutions,"Omkar Energy Solutions is a technology-driven organization specializing in IoT connectivity, embedded systems, and intelligent energy management solutions. We design and deliver advanced hardware and software technologies that enable efficient monitoring, communication, and automation across industrial and infrastructure applications.\n\nWith strong expertise in wireless communication, IoT integration, and smart energy technologies, we help businesses optimize performance, improve operational efficiency, and adopt data-driven decision-making.",https://omkarenergysolutions.com/,https://res.cloudinary.com/dgwll3dwe/image/upload/v1771583218/internship-portal/logo-1771583217913-176420171_dv2n1j.webp,false,true,2026-02-20T10:04:15.177Z,2026-02-20T10:27:14.222Z,0,Mohali,hr@omkarenergysolutions.com,09780857297
6998406373452e50b91e47bd,6998404d73452e50b91e47b8,NOTATMRP INNOVATION PRIVATE LIMITED,E-COMMERCE,https://www.notatmrp.com/,,false,true,2026-02-20T11:07:15.467Z,2026-02-20T11:07:15.467Z,0,,,
6997cda673452e50b91e2d49,6997cd6873452e50b91e2d44,Glyptika Studios LLP,"3D/VR, software development",https://www.glyptika.com,,false,true,2026-02-20T02:57:42.356Z,2026-02-20T02:57:42.356Z,0,,,
6996cfece27ab1eacabf1d8c,6996cf9de27ab1eacabf1d87,GROWCHIP AI TECHNOLOGIES PRIVATE LIMITED,IT & TECHNOLOGGY,https://growchip.in/,,false,true,2026-02-19T08:55:08.322Z,2026-02-19T08:55:08.322Z,0,,,
699c4dab2ea03cf2c22fdda0,699c4d792ea03cf2c22fdd99,eNest Technologies Private Limited,Data Science and AI ,https://www.enestit.com,,false,true,2026-02-23T12:52:59.916Z,2026-02-23T12:52:59.916Z,0,,,
699549203cbdc39b17e963af,699549083cbdc39b17e963aa,EaseMyTrip,"EaseMyTrip offers 'End to End' travel solutions including air tickets for more than 400 international and domestic airlines, hotel bookings for nearly 1 million hotels in India and abroad, cab booking with 4000+ cab operators, bus tickets with 2000+ bus operators, and railway tickets in India for all major cities.",https://www.google.com/aclk?sa=L&pf=1&ai=DChsSEwjkg4CgouKSAxVMpGYCHfb7HKsYACICCAEQABoCc20&co=1&ase=2&gclid=CjwKCAiAwNDMBhBfEiwAd7ti1HuWBdUJUVmACGzSb19-lTmPLfDvP2p_2VdUFhd7F4twVWVOFKU9oRoC6FUQAvD_BwE&cid=CAASWeRoprKLHLfmxOqaBH_Jk8Hy9BrJGZvqb0LTnT-1T6GLp-jGZiJeBq2DjAeyikF83-rIIE14QcgwlaKrMsjUbE1HZSmKVQTTwKlYfzjIAFE9m8Q84UsdYGyt&cce=2&category=acrcp_v1_32&sig=AOD64_1oLFAaVffCUZVFj6Jt6nUA2IMuZw&q&nis=4&adurl=https://www.easemytrip.com/?utm_campaign%3D788997081%26utm_source%3Dg_c%26utm_medium%3Dcpc%26utm_term%3De_easemytrip%26adgroupid%3D39319940377%26gad_source%3D1%26gad_campaignid%3D788997081%26gbraid%3D0AAAAADo_0-hbk3c35qPCgwryIzr_UbSAw%26gclid%3DCjwKCAiAwNDMBhBfEiwAd7ti1HuWBdUJUVmACGzSb19-lTmPLfDvP2p_2VdUFhd7F4twVWVOFKU9oRoC6FUQAvD_BwE&ved=2ahUKEwiKr_qfouKSAxWQSGcHHeTjCp8Q0Qx6BAgVEAE,https://res.cloudinary.com/dgwll3dwe/image/upload/v1771413206/internship-portal/logo-1771413205591-401392881_w4qb0w.webp,false,true,2026-02-18T05:07:44.104Z,2026-02-18T11:13:40.037Z,0,Noida,tushika.verma@easemytrip.com,8766366400
